date,dte,method,p95_lo,p95_hi,p97_lo,p97_hi,p98_lo,p98_hi,p99_lo,p99_hi,actual_close,actual_return_pct,p95_hit,p97_hit,p98_hit,p99_hit,p95_width_pct,p97_width_pct,p98_width_pct,p99_width_pct,midpoint,midpoint_error_pct,vix,position_vs_sma20,return_5d,vol_regime
2025-12-09,1,baseline,24892.237346353264,26277.290672024694,24730.310008212986,26341.171219080068,24640.9699589455,26364.26144834084,24356.043744889826,26623.30349554568,25776.437320063655,0.4197709740968924,True,True,True,True,5.395886794742383,6.275588509681963,6.713594068020834,8.83278406835652,25535.74061364653,0.9377055421779881,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,1,conditional,25143.423502446898,25984.900221875567,25111.63210685011,26019.740700943905,24912.399365404544,26036.27824053939,24774.343238294572,26142.538932132982,25776.437320063655,0.4197709740968924,True,True,True,True,3.278222602907508,3.5378068701343275,4.378404115444607,5.3302128807403175,25565.68640389701,0.821042817952291,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,1,ensemble,24479.68350922569,26860.73707260346,24381.140026405472,27012.912224317708,24339.650607575808,27067.535687372016,24275.79574164728,27240.665822473453,25776.437320063655,0.4197709740968924,True,True,True,True,9.276101679317039,10.25285062046308,10.627286911506928,11.55053240242672,25697.02612536159,0.30936990576869444,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,1,ensemble_combined,24479.68350922569,26860.73707260346,24381.140026405472,27012.912224317708,24339.650607575808,27067.535687372016,24275.79574164728,27240.665822473453,25776.437320063655,0.4197709740968924,True,True,True,True,9.276101679317039,10.25285062046308,10.627286911506928,11.55053240242672,25697.02612536159,0.30936990576869444,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,2,baseline,24740.63150696334,26652.20242950154,24627.398840880196,26955.336845426642,24539.151545314333,27055.662193184085,24231.302116273408,27445.92503361392,25686.68481382103,0.07011341633113495,True,True,True,True,7.4470925465178,9.069174236754955,9.803815002636396,12.523518790401255,25791.36784315342,0.40782384702368996,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,2,conditional,25054.058549204652,26066.75537032948,25019.166288570494,26111.928987738036,24841.375888081988,26135.319997588045,24735.966688967597,26137.719666812245,25686.68481382103,0.07011341633113495,True,True,True,True,3.945261386622844,4.257181805882302,5.040943770330133,5.460945252036492,25565.547638154265,0.47192586337123177,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,2,ensemble,24571.585194193263,27230.51374683645,24403.192051158585,27364.889027906145,24311.70679631291,27484.72494157469,24135.83662500434,27678.756094596643,25686.68481382103,0.07011341633113495,True,True,True,True,10.358646269749748,11.538170632609779,12.36143503803088,13.802495562068984,25884.040539532365,0.7688578731915319,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,2,ensemble_combined,24571.585194193263,27230.51374683645,24403.192051158585,27364.889027906145,24311.70679631291,27484.72494157469,24135.83662500434,27678.756094596643,25686.68481382103,0.07011341633113495,True,True,True,True,10.358646269749748,11.538170632609779,12.36143503803088,13.802495562068984,25884.040539532365,0.7688578731915319,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,3,baseline,24524.184272100134,27001.29094857593,24249.91590353834,27281.82875118408,23927.049721361975,27497.97679584189,23149.9828037574,27979.183015536913,25196.73375841891,-1.8386365075267,True,True,True,True,9.650305123295118,11.811717422136558,13.91160750928745,18.813584407861114,25765.872327361212,2.217248413194207,16.93,2.076646190037797,0.2426832970583819,medium
2025-12-09,3,conditional,25029.695035608936,26177.209457709316,24835.76903836365,26236.190383686568,24719.055446540428,26327.912776468595,24530.660288157465,26408.121420701285,25196.73375841891,-1.8386365075267,True,True,True,True,4.470483411883263,5.455757481857336,6.267781796036995,7.314207723969256,25535.97971102511,1.3216334143309592,16.93,2.076646190037797,0.2426832970583819,medium
